Th1	Th2	Th17	Th0	iTreg
FBLN5	-0.022812565590078	0.000790016301474972	0.00967436063000132	0.021254082055098	-0.00890589339649634
RNF157	0.0277655100743154	-0.00196218597943755	-0.017989278133375	0.00692736694252475	-0.0147414129040275
GRB7	-0.000572708715495294	-0.000482879351932342	-4.84927064366444e-05	-0.000191179621757331	0.00129526039562161
ATP1B1	-0.00732586775007067	-0.00493797566296243	-0.00121358299752913	-0.0132475065788088	0.0267249329893711
GLT1D1	-0.0247169654102732	-0.0284092713887236	0.0222305850922159	-0.048703730070269	0.0795993817770499
LY96	-0.0355487627683575	-0.0324191469783621	-0.00108954817885583	0.0529864564433868	0.0160710014821886
PIK3AP1	-8.13078080085552e-05	-0.000423892455943136	0.00174525291451259	-0.000217048280251961	-0.00102300437030894
COL6A3	-0.0174440759691216	-0.0306704375779887	0.108239761688113	-0.052963661064446	-0.00716158707655672
INAVA	-0.136392246487009	-0.0520664667988242	0.183338138280387	-0.123088171288815	0.128208746294261
KRTCAP2	0.0224348320078803	0.0169513903937621	0.00911722456727219	-0.0320082164190603	-0.0164952305498543
ILK	0.0124374736626807	0.00952811151693664	0.00416775075740793	-0.0152218430797084	-0.0109114928573169
IL13	-0.0729523686987147	0.0791779382489043	-0.0378240673143744	0.0570396499379374	-0.0254411521737526
GPR183	-0.0241825026093674	0.0043242136867538	0.0014988839291071	0.0108346144010801	0.0075247905924264
PDE7B	-0.0644176780758126	0.0913393367005396	-0.0290140828859887	0.0440644425948454	-0.0419720183335838
CCR9	-0.00819665999500939	-0.0123724535372651	-0.0132302994309111	-0.0239014734298305	0.0577008863930163
KBTBD11	0.00877357037144307	-0.0137381966569802	0.0152230046851742	-0.00098948464799523	-0.00926889375164187
FUT7	0.0521487779196672	-0.0854842588604876	0.0992129809898321	0.0742464063455765	-0.140123906394588
GPR157	-0.0166480066682834	-0.00902979770727584	0.0239727247077487	-0.0164267512836757	0.0181318309514862
NOG	-0.0296536078871714	-0.0225438100173119	0.00890648436198959	0.0401061577669687	0.00318477577552498
TMPRSS6	0.0178633359232611	-0.0397226675646055	0.000273089674285359	-0.113079697424228	0.134665939391288
FHIT	-0.0303398839674257	-0.0199930739264469	-0.00335474722331126	0.0607208159523371	-0.00703311083515315
TMEM229B	-0.0128341268247189	0.00779767293014257	-0.0104287172431197	0.0376133421470022	-0.0221481710093062
ITPRIPL2	0.00826334494782806	0.075614752898432	-0.0213810893715558	-0.0798396960805996	0.0173426876058953
TRBJ2-2P	-0.00813437324666548	-0.00753869757153757	-0.00357379829265811	0.0130012679331281	0.00624560117773308
IGHG1	-0.0247469541301927	0.0131637672579247	0.0678952962079915	-0.017007011714361	-0.0393050976213626
NPM1P24	-0.0129855579476725	-0.00887230874005308	-0.0034686506867929	0.0224994646903297	0.00282705268418887
CEBPD	0.0135839909405348	-0.0121684903848977	0.0164640807042144	-0.004527452838453	-0.0133521284213985
MTND2P28	-0.00927908826763139	-0.0081160806004239	-0.0055563126239791	0.0117728046694648	0.0111786768225696
MIAT	0.0327944674303361	-0.0213973981015037	0.0832969924752453	-0.0577588700979776	-0.0369351917061
MTND1P23	-0.0108407169302697	-0.00917612201716476	-0.00603348277544437	0.0150177586004033	0.0110325631224755
UBXN10-AS1	-0.0218331084187489	-0.0161901611385066	-0.00732409899221009	0.0380086665842821	0.00733870196518343
AL121914.1	-0.00366439904653898	-0.00279620673612456	-0.00141372068198765	0.00626148174293934	0.00161284472171186
MTCO2P12	-0.0113807849257196	-0.00990940976419988	-0.00658465066767709	0.0157424526686531	0.0121323926889435
