"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"IDO1" "ENSG00000131203" "IDO1" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA 356 6471 111 3378 5 74 12 1 0 NA 1 NA 0 0 1 12 0 1 0 1 0 0 NA 0 2 27 20 3 10 NA 2 0 0 2 44 2 6 3 6 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL2RA" "ENSG00000134460" "IL2RA" 12 NA 15 14 14 13 12 14 16 23 9 16 4 21 26 32 50 45 60 42 46 46 41 35 25 41 23 284 32 1 1 1 4 5 2 4 5 4 5 1 4 1 0 4 2 NA 7 NA 6 NA NA NA NA 12 263 17 299 1 3 30 0 0 NA 0 0 6 0 0 0 0 0 0 0 0 0 0 0 1 4 1 0 6 NA 0 31 2 0 0 0 0 0 0 0 1 NA 14 2 5 1 10 2 4 1 4 1 3 3 9
"IL31RA" "ENSG00000164509" "IL31RA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 NA 5 NA 0 NA 0 NA 7 2 3 8 1 6 4 8 3 2 4 5 2 6 12 3 NA 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"INHBA" "ENSG00000122641" "INHBA" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA 2030 7 967 17 9 6 52 0 2 NA 0 NA 1 0 0 1 1 0 1 0 1 1 NA 1 0 15 0 0 0 NA 0 2 0 0 3 2 2 0 2 5 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0
"INHBB" "ENSG00000163083" "INHBB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 NA 0 NA 1 0 10 16 2 8 15 13 9 13 19 9 14 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"INSC" "ENSG00000188487" "INSC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 7 8 6 4 10 7 10 15 14 4 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"ISL2" "ENSG00000159556" "ISL2" 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 16 NA 8 NA 8 16 8 9 1 0 0 0 0 0 0 0 0 2 0 NA 7 4 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 41 29 28 37 32 29 28 30 22 28 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ISM1" "ENSG00000101230" "ISM1" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 1 8 2 4 8 10 10 12 12 4 5 10 2 0 6 0 1 0 0 1 1 1 3 1 0 1 2 0 0 3 0 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"KAZN" "ENSG00000189337" "KAZN" 1 2 2 0 0 2 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 NA 0 NA 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 NA 4 1 0 0 0 0 0 0 0 0 NA 0 0 0 0 1 6 108 50 13 39 58 40 43 62 67 69 47 0 1 0 1 2 2 0 0 0 0 3 0 2 0 2
"KCNG1" "ENSG00000026559" "KCNG1" 10 27 4 15 4 15 17 16 17 9 12 17 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KIR2DL1" "ENSG00000125498" "KIR2DL1" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 3 0 0 0 2 0 0 25 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 25 NA 21 57 14 18 8 8 40 86 6 117 9 21 11
"KIR3DL1" "ENSG00000167633" "KIR3DL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 14 0 1 4 3 1 0 0 1 1 3 3 1 95 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 212 71 10 170 41 22 42 30 8 68 21 42 19 45 60
"KLHL14" "ENSG00000197705" "KLHL14" 21 190 66 56 68 60 47 66 67 68 68 74 44 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KLRC3" "ENSG00000205810" "KLRC3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 2 2 2 3 5 2 1 2 3 2 1 2 1 NA 1 NA 1 0 1 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 1 0 0 0 0 0 0 1 0 0 0 0 0 7 92 3 5 5 2 13 6 26 22 11 44 4 4 11
"KLRF1" "ENSG00000150045" "KLRF1" 0 2 1 2 1 2 1 3 1 1 1 1 1 1 2 1 1 1 1 1 1 2 3 0 1 0 1 7 0 34 11 2 4 4 29 39 28 54 14 6 11 4 3 2 134 4 4 2 6 4 4 4 2 1 NA 0 NA 2 NA 1 NA 0 2 1 4 0 0 1 1 2 0 1 0 0 0 6 1 NA 0 NA 0 0 16 2 2 0 2 0 2 0 3 3 0 2020 1370 593 446 712 785 680 746 257 1236 611 460 982 680 349
"KLRK1" "ENSG00000213809" "KLRK1" 0 23 1 0 1 1 1 1 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 27 61 11 20 14 12 9 29 15 24 36 1 65 0 250 3 0 3 0 3 1 3 3 4 NA 2 NA 3 NA 2 NA 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 1 1 8 0 0 1 0 1 0 1 1 1 1 1 1212 34 864 7 11 14 27 25 1 5 1 26 36 7
"KRT23" "ENSG00000108244" "KRT23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 1 4 1 NA 7 1 2 1 2 3 2 7 3 1 NA 1 NA 0 NA 2 0 214 102 56 52 181 164 178 325 376 283 274 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"KY" "ENSG00000174611" "KY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 1 0 0 NA 0 0 0 0 0 0 0 0 0 1 NA 0 NA 0 NA 0 0 66 36 7 9 45 46 47 34 36 44 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LAG3" "ENSG00000089692" "LAG3" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 9 3 26 11 9 4 10 6 5 5 4 4 5 15 11 32 20 138 10 57 46 112 34 38 32 13 13 12 225 58 60 NA NA NA NA NA NA NA NA 1 166 0 153 0 3 0 1 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 1 25 2 0 0 NA 0 0 0 2 2 2 2 0 0 2 5 NA 0 0 0 5 0 0 39 1 9 22 1 0 14
"LDB2" "ENSG00000169744" "LDB2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 11 NA 26 24 4 7 10 16 1 18 10 2 16 12 8
"LGALSL" "ENSG00000119862" "LGALSL" 1 NA 1 1 1 1 1 1 1 0 1 1 0 3 0 1 1 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 0 NA 0 NA 1 0 0 0 0 0 0 0 0 0 NA 1 0 1 0 0 0 NA 51 24 59 74 98 106 45 62 50 43 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"LIM2" "ENSG00000105370" "LIM2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 4 NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 NA 0 0 0 0 0 0 0 0 0 0 10 NA 8 22 16 13 11 8 16 1 10 4 10 14 10
"LINGO2" "ENSG00000174482" "LINGO2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 0 1 0 0 0 0 0 0 0 0 0 0 10 18 2 1 17 6 10 13 7 23 6 5 16 7 7
"LIX1" "ENSG00000145721" "LIX1" 9 7 6 6 7 10 9 5 5 3 7 6 14 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"LRRC43" "ENSG00000158113" "LRRC43" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 16 21 15 24 15 18 14 9 2 18 0 14 19 22
"MAOA" "ENSG00000189221" "MAOA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 2 5 8 10 176 147 90 124 1 0 0 NA 5 5 0 0 0 0 1 1 1 0 NA 1 3 0 2 1 0 0 0 6 10 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MB21D2" "ENSG00000180611" "MB21D2" 0 1 0 0 0 0 0 0 1 0 0 0 0 0 7 5 33 16 13 12 13 10 8 4 5 5 7 13 6 2 2 4 7 2 2 2 4 3 1 2 1 2 0 0 0 5 15 2 4 2 2 5 2 NA 12 NA 16 NA 2 NA 2 2 2 1 7 2 1 1 1 4 1 4 1 3 4 1 8 3 0 5 2 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"MCEMP1" "ENSG00000183019" "MCEMP1" 0 0 0 34 1 1 1 0 1 0 0 0 8 0 1 0 NA 18 0 0 0 0 0 0 0 0 1 NA 0 0 0 NA 154 1 0 0 0 0 0 0 0 0 NA 1 NA 0 1 0 1 1 0 1 0 NA NA NA NA NA NA NA NA 75 38 48 24 257 130 39 30 38 45 35 47 38 184 34 146 NA NA NA NA NA 30 44 531 338 32 30 49 29 31 32 44 0 0 0 NA 1 1 1 1 1 12 1 0 0 1 0
"MCOLN2" "ENSG00000153898" "MCOLN2" 3 268 16 3 7 12 12 16 16 27 10 13 2 0 2 7 2 8 10 7 9 10 9 4 3 6 7 0 2 8 14 12 10 46 16 17 22 23 15 4 11 11 2 3 61 56 40 29 99 105 29 104 56 1 151 1 130 6 6 1 2 1 8 0 1 1 1 1 4 1 0 1 1 1 1 4 2 1 4 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 1 1 1 3 2 1 20 1 12 5 2 2 8
"MEG3" "ENSG00000214548" "MEG3" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 NA 1 0 0 0 2 0 0 0 0 0 NA 0 NA 23 1 395 2 23 22 22 177 0 NA 1 NA 0 NA 0 NA 0 0 2 0 6 2 0 0 5 2 2 3 0 0 0 1 NA NA NA NA NA 0 0 0 1 1 1 3 4 1 1 1 0 0 1 NA 0 0 1 2 0 1 3 0 0 0 2
"MEOX1" "ENSG00000005102" "MEOX1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 4 0 6 10 3 6 4 4 4 3 3 5 44 1 3 1 0 1 2 1 2 0 1 1 2 0 4 1 2 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MMP12" "ENSG00000262406" "MMP12" 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 NA NA NA NA NA NA NA NA NA 34 86 13 0 7130 1202 512 129 0 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 82 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA 0 NA NA NA
"MS4A1" "ENSG00000156738" "MS4A1" 1114 2319 4775 7130 7130 7130 7130 7130 4775 7130 7130 4775 1216 549 0 2 0 2 1 2 1 2 3 2 1 1 3 1 0 2 7 3 8 8 6 7 15 9 10 3 7 19 7 0 41 0 NA 0 NA 0 0 0 0 3 NA 1 NA 4 NA 2 NA 0 0 1 NA 3 1 1 1 0 0 2 0 1 0 NA 0 NA 0 NA 0 0 6 2 2 3 0 0 3 3 6 9 3 0 0 2 2 1 1 1 1 1 1 1 0 1 2 1
"MYCL" "ENSG00000116990" "MYCL" 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA NA 1 NA 0 NA 1 NA 0 74 NA 48 NA 18 32 61 53 50 58 66 77 50 90 NA 90 0 NA 0 NA NA NA 11 0 0 2 3 5 11 6 10 9 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0
"MYOM2" "ENSG00000036448" "MYOM2" 1 2 2 4 2 1 4 2 1 3 0 2 2 4 2 2 2 3 3 2 1 1 39 4 2 1 2 1 1 1 2 1 1 2 1 2 0 80 1 1 1 1 0 1 1 2 0 0 1 2 2 2 0 0 NA 0 NA 0 NA 0 NA 0 1 0 1 1 1 0 1 1 1 1 0 1 0 2 0 NA 0 NA 0 1 0 1 2 0 0 0 2 0 0 0 0 331 14 8 64 14 964 83 4 243 10 54 776 2 230 11
"NCAM1" "ENSG00000149294" "NCAM1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 6 0 0 0 0 0 0 0 4 0 3 4 19 17 4 38 6 2 3 1 1 0 4 0 2 0 3 0 0 1 0 1 0 0 0 0 0 0 0 3 1 1 3 1 2 0 0 2 1 1 1 2 1 4 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 132 239 212 75 153 196 220 149 125 151 149 184 209 180 169
"NCF4-AS1" "ENSG00000183822" "NCF4-AS1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 30 7 10 10 14 13 11 8 11 7 3 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"NECAB2" "ENSG00000103154" "NECAB2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 1 0 0 0 0 0 1 1 0 0 0 1 0 NA 0 NA 3 0 NA 52 15 24 35 26 33 38 51 39 47 0 NA 0 0 0 0 0 0 0 0 1 0 0 0 0
"NETO1" "ENSG00000166342" "NETO1" 40 36 16 120 37 14 16 36 9 35 21 20 17 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NFE4" "ENSG00000230257" "NFE4" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 2 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 0 4 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 77 55 23 48 53 44 68 49 51 48 42 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"NLRP7" "ENSG00000167634" "NLRP7" 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 3 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 6 0 7 12 3 4 0 0 0 3 3 7 18 10 6 12 7 14 14 8 18 12 15 11 13 12
"NRCAM" "ENSG00000091129" "NRCAM" 2 NA 0 0 1 0 0 1 1 0 1 1 0 4 3 1 1 0 0 0 0 0 1 2 2 3 0 0 3 43 8 0 5 1 3 4 3 3 8 34 19 11 0 33 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 1 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"NUPR1" "ENSG00000176046" "NUPR1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 1 0 3 0 NA 0 NA 0 0 0 0 92 1356 97 441 6 2 18 4 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 15 16 17 4 5 0 0 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OLFML3" "ENSG00000116774" "OLFML3" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 NA NA NA NA NA NA NA NA 1 0 0 0 18 20 1 27 0 NA 0 NA 0 0 0 0 0 0 0 0 0 1 NA 1 16 491 34 25 1 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 1 0 0 0 0 0 0 0 0 0 0 0
"OSR2" "ENSG00000164920" "OSR2" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 3 0 3 0 5 5 5 4 7 4 6 8 6 1 0 1 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0
"P2RX7" "ENSG00000089041" "P2RX7" 4 NA 7 7 6 4 6 7 6 8 9 8 0 3 4 11 6 7 11 11 12 13 9 11 8 16 4 14 3 5 11 2 7 12 8 11 12 17 12 8 18 8 7 2 32 NA NA NA NA NA NA NA NA 222 36 129 54 7 5 9 1 19 NA 53 NA 38 56 60 72 86 69 60 50 74 32 NA 29 13 108 15 114 41 NA 6 0 0 2 0 0 2 0 0 2 12 NA 18 67 24 25 18 24 22 14 16 12 23 23 8
"PAX5" "ENSG00000196092" "PAX5" 439 1103 968 968 968 1034 1207 910 1356 910 775 815 515 2664 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 6 2 0 0 0 0 0 2 2 1 1 0 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 1 0 0 0 0 0 1 0 0 0 NA 0 NA 0 NA 1 1 1 0 3 4 0 0 3 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PCDH1" "ENSG00000156453" "PCDH1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 1 4 4 3 3 3 1 1 2 0 5 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 30 15 16 36 31 35 22 17 20 28 74 28 30 32
"PCDH9" "ENSG00000184226" "PCDH9" 136 164 70 76 77 60 58 73 55 40 52 43 979 220 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 7 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 14 0 0 0 0 3 0 0 0 0 0 0 0 2 5 2 0 1 1 1 1 1 0 1 1 1 1 1
"PGLYRP1" "ENSG00000008438" "PGLYRP1" 0 0 0 7 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 0 23 0 0 0 0 0 0 0 0 2 0 2 NA 0 NA 0 0 55 98 100 119 69 53 82 95 95 102 96 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"PIANP" "ENSG00000139200" "PIANP" 0 NA 0 1 2 0 2 0 0 1 1 0 10 0 10 2 35 2 2 4 3 4 3 4 3 3 2 6 5 4 0 0 0 0 2 2 1 0 3 0 2 0 0 2 6 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 NA 0 0 2 6 3 5 6 3 3 2 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0
"PKIB" "ENSG00000135549" "PKIB" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 1 0 1 0 24 35 27 152 1 NA 0 NA 0 1 0 0 1 0 1 0 0 0 NA 0 25 38 58 19 14 NA 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 1 0 0 0 0
