"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"ALOX15B" "ENSG00000179593" "ALOX15B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 2 0 2 0 13 12 20 31 30 2 16 2 69 20 8 5 12 20 5 4 7 5 8 12 9 24 4 25 0 8 0 6 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"ANAPC1P1" "ENSG00000233673" "ANAPC1P1" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1 0 0 0 0 0 0 0 0 0 NA 0 2 10 NA 10 20 3 3 12 6 5 5 14 2 NA 1 NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0 NA NA NA NA NA 0 1 1 1 1 1 1 1 1 1 1 1 0 0 NA 0 0 0 1 0 0 0 0 0 0 0
"ANKRD55" "ENSG00000164512" "ANKRD55" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 35 35 0 51 11 17 16 14 11 16 64 47 15 0 104 0 1 0 5 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 1 NA 0 1 0 0 3 1 1 1 1 0 0 1 0 0 0 0 NA 0 NA 1 0 6 7 11 24 10 7 6 6 6 11 14 0 0 1 0 1 0 2 0 0 0 1 0 0 0 0
"ANKUB1" "ENSG00000206199" "ANKUB1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 1 NA 1 1 0 0 NA NA NA NA NA NA NA NA 0 1 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 2 1 32 12 3 4 15 16 16 14 11 11 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AP001434.1" "ENSG00000226012" "AP001434.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 0 2 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 22 9 13 13 9 10 15 4 9 15 6 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"BEND4" "ENSG00000188848" "BEND4" 18 86 31 44 29 32 25 29 40 28 38 32 27 44 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 4 1 1 0 0 2 0 1 1 0 1 0 2 0 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 0 0 0 0 0 0 0 0 0 1 NA 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 1 2
"BEND7" "ENSG00000165626" "BEND7" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 0 NA 0 NA 1 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 NA 0 NA 0 0 18 22 16 18 32 27 20 25 28 37 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BNC2" "ENSG00000173068" "BNC2" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 2 3 1 1 1 0 0 1 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 1 0 1 1 NA 0 0 0 3 0 0 0 0 0 0 112 NA 23 41 45 37 34 30 23 43 32 60 28 33 14
"BOK" "ENSG00000176720" "BOK" 0 2 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 2 2 0 1 1 2 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 2 0 0 0 0 0 0 0 0 0 0 7 37 26 2 7 20 19 46 16 20 30 2 20 11 29
"C7orf34" "ENSG00000165131" "C7orf34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 NA 0 NA 0 NA 0 NA 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA 1 0 28 7 5 3 8 11 8 6 9 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
